sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,race-sex
1,50,Greater than 45,1,0,0,0,1,F,Sexual Performance by a Child,1,Caucasian-Male
0,37,25 - 45,1,0,0,0,0,M,Leaving Acc/Unattended Veh,1,Caucasian-Female
1,44,25 - 45,1,0,0,0,4,M,Battery,1,Caucasian-Male
1,27,25 - 45,0,0,0,0,0,M,Criminal Mischief,1,African-American-Male
0,28,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,African-American-Female
1,38,25 - 45,0,0,0,0,2,F,Driving While License Revoked,1,African-American-Male
0,28,25 - 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Female
1,38,25 - 45,0,0,0,0,15,F,Possession of Cocaine,1,African-American-Male
1,28,25 - 45,0,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,1,African-American-Male
0,51,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,0,Caucasian-Female
1,51,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,48,Greater than 45,0,0,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),1,African-American-Male
0,30,25 - 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,1,African-American-Female
0,41,25 - 45,0,0,0,0,5,M,Battery,1,African-American-Female
1,37,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,54,Greater than 45,0,0,0,0,11,F,Grand Theft (Motor Vehicle),1,African-American-Male
1,23,Less than 25,0,0,0,0,2,F,Robbery / Weapon,1,African-American-Male
1,41,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,52,Greater than 45,1,0,0,0,0,F,Burglary With Assault/battery,1,Caucasian-Male
1,52,Greater than 45,0,0,0,0,0,F,Uttering a Forged Instrument,1,African-American-Male
1,28,25 - 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
1,30,25 - 45,0,0,0,2,11,M,Battery,0,African-American-Male
1,28,25 - 45,1,0,0,0,1,F,Criminal Mischief,1,Caucasian-Male
1,22,Less than 25,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,African-American-Male
1,30,25 - 45,0,0,0,0,4,F,Driving While License Revoked,1,African-American-Male
1,25,25 - 45,0,0,0,0,4,F,Possession of Cannabis,1,Hispanic-Male
1,32,25 - 45,0,0,1,0,14,F,Aggravated Battery / Pregnant,1,African-American-Male
1,53,Greater than 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
1,25,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
0,37,25 - 45,0,0,0,0,0,M,Battery,1,Other-Female
0,40,25 - 45,0,0,0,0,3,F,Driving While License Revoked,1,Other-Female
0,31,25 - 45,0,0,0,0,0,M,Battery,1,Hispanic-Female
1,24,Less than 25,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Hispanic-Male
1,29,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,20,Less than 25,0,0,0,0,1,F,Carrying Concealed Firearm,0,African-American-Male
1,39,25 - 45,0,0,0,0,0,F,Throw In Occupied Dwell,1,Other-Male
1,27,25 - 45,0,0,0,0,4,F,arrest case no charge,1,African-American-Male
0,37,25 - 45,0,0,0,0,2,F,arrest case no charge,1,African-American-Female
1,20,Less than 25,0,0,0,0,0,F,Possession Burglary Tools,1,African-American-Male
1,22,Less than 25,0,0,0,1,0,F,"Poss3,4 Methylenedioxymethcath",1,Hispanic-Male
0,52,Greater than 45,0,0,0,0,0,F,Burglary Conveyance Unoccup,1,African-American-Female
0,48,Greater than 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,African-American-Female
1,25,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",1,Caucasian-Male
1,27,25 - 45,1,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Caucasian-Male
0,22,Less than 25,1,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,1,Caucasian-Female
0,41,25 - 45,0,0,0,0,2,M,Battery on Law Enforc Officer,1,African-American-Female
0,25,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Other-Female
1,43,25 - 45,0,0,0,0,0,F,Felony Battery (Dom Strang),1,African-American-Male
1,37,25 - 45,1,0,0,0,3,F,arrest case no charge,1,Caucasian-Male
1,70,Greater than 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
1,46,Greater than 45,1,0,0,0,3,F,arrest case no charge,1,Caucasian-Male
1,26,25 - 45,0,0,0,0,1,M,Battery,0,African-American-Male
1,34,25 - 45,1,0,0,0,5,M,Battery,1,Caucasian-Male
1,34,25 - 45,0,0,0,0,5,M,Driving License Suspended,1,African-American-Male
1,24,Less than 25,0,0,0,0,0,F,Failure To Return Hired Vehicle,1,Other-Male
1,58,Greater than 45,1,0,0,0,2,F,Agg Fleeing/Eluding High Speed,1,Caucasian-Male
0,21,Less than 25,0,0,0,0,0,M,Battery,1,African-American-Female
1,62,Greater than 45,1,0,0,0,0,F,False Imprisonment,1,Caucasian-Male
1,37,25 - 45,1,0,0,0,5,F,Battery on Law Enforc Officer,1,Caucasian-Male
0,32,25 - 45,0,0,0,0,5,F,Aggrav Battery w/Deadly Weapon,1,African-American-Female
1,23,Less than 25,0,0,0,0,0,F,Burglary Conveyance Unoccup,1,Hispanic-Male
1,27,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Male
0,42,25 - 45,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Female
1,24,Less than 25,0,0,1,0,9,F,Resist Officer w/Violence,0,Other-Male
1,27,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,African-American-Male
0,51,Greater than 45,1,0,0,0,0,M,Battery on Law Enforc Officer,1,Caucasian-Female
1,56,Greater than 45,1,0,0,0,0,M,Battery On Parking Enfor Speci,1,Caucasian-Male
1,29,25 - 45,0,0,0,0,7,F,arrest case no charge,1,African-American-Male
1,27,25 - 45,1,0,0,0,8,F,arrest case no charge,1,Caucasian-Male
1,24,Less than 25,0,0,1,0,2,F,Burglary Structure Unoccup,0,African-American-Male
1,28,25 - 45,1,0,0,0,2,M,Battery,0,Caucasian-Male
1,21,Less than 25,0,0,1,0,3,F,Grand Theft in the 3rd Degree,1,Hispanic-Male
0,36,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,African-American-Female
0,23,Less than 25,0,0,0,0,1,M,Operating W/O Valid License,1,Hispanic-Female
1,28,25 - 45,1,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,1,Caucasian-Male
1,36,25 - 45,1,0,0,0,0,M,Viol Injunct Domestic Violence,1,Caucasian-Male
1,24,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,29,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,African-American-Male
0,30,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,51,Greater than 45,0,0,0,0,1,M,Assault,1,Hispanic-Male
1,32,25 - 45,0,0,1,0,12,F,arrest case no charge,0,African-American-Male
1,23,Less than 25,0,0,0,1,1,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,47,Greater than 45,0,0,0,0,3,F,Possession Burglary Tools,1,African-American-Male
1,37,25 - 45,1,0,0,0,0,F,Forging Bank Bills/Promis Note,1,Caucasian-Male
1,27,25 - 45,0,0,0,0,0,M,Battery,1,Hispanic-Male
1,39,25 - 45,0,0,0,0,0,M,Battery,1,Other-Male
0,21,Less than 25,1,0,0,2,0,F,Possession of Cocaine,1,Caucasian-Female
1,69,Greater than 45,1,0,0,0,0,M,Aggravated Assault W/dead Weap,1,Caucasian-Male
1,21,Less than 25,1,0,0,0,2,F,arrest case no charge,1,Caucasian-Male
1,22,Less than 25,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Male
1,49,Greater than 45,0,0,0,0,3,F,Grand Theft (Motor Vehicle),1,African-American-Male
1,29,25 - 45,0,0,0,1,2,M,Battery,1,African-American-Male
0,60,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
0,20,Less than 25,0,1,0,0,1,F,arrest case no charge,1,Other-Female
1,36,25 - 45,0,0,0,0,1,F,Felony/Driving Under Influence,1,Hispanic-Male
1,30,25 - 45,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Male
1,21,Less than 25,0,0,1,0,1,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,34,25 - 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
0,53,Greater than 45,1,0,0,0,1,M,Battery,1,Caucasian-Female
0,24,Less than 25,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,African-American-Female
1,42,25 - 45,0,0,0,0,1,F,arrest case no charge,1,African-American-Male
1,28,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,22,Less than 25,0,0,0,0,4,F,Grand Theft in the 3rd Degree,0,African-American-Male
1,21,Less than 25,1,0,0,0,3,M,arrest case no charge,1,Caucasian-Male
1,35,25 - 45,0,0,0,0,2,F,Possession of Cannabis,1,African-American-Male
1,53,Greater than 45,0,0,0,0,2,F,Felony Driving While Lic Suspd,1,African-American-Male
1,29,25 - 45,0,0,0,0,7,F,Possession of Cocaine,1,African-American-Male
1,48,Greater than 45,1,1,0,0,23,F,Felony Petit Theft,0,Caucasian-Male
0,52,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Female
1,28,25 - 45,0,0,0,0,5,F,arrest case no charge,1,African-American-Male
1,33,25 - 45,1,0,0,0,3,M,Battery,1,Caucasian-Male
0,28,25 - 45,0,0,0,0,0,F,arrest case no charge,1,Hispanic-Female
1,29,25 - 45,0,1,0,0,2,F,Aggravated Battery / Pregnant,1,African-American-Male
1,25,25 - 45,1,0,0,0,0,F,Resist Officer w/Violence,1,Caucasian-Male
1,56,Greater than 45,0,0,0,0,5,F,Driving While License Revoked,1,African-American-Male
1,27,25 - 45,0,0,0,0,9,F,Aggravated Battery / Pregnant,0,African-American-Male
1,32,25 - 45,0,0,0,0,3,F,Battery on Law Enforc Officer,1,African-American-Male
1,60,Greater than 45,0,0,0,0,4,F,arrest case no charge,1,Other-Male
1,23,Less than 25,0,0,0,0,1,M,Exposes Culpable Negligence,1,Hispanic-Male
0,39,25 - 45,1,0,0,0,0,M,Disorderly Intoxication,1,Caucasian-Female
1,56,Greater than 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
0,22,Less than 25,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,African-American-Female
1,53,Greater than 45,0,0,0,0,11,F,arrest case no charge,1,African-American-Male
1,21,Less than 25,0,0,0,0,0,M,Battery,1,Hispanic-Male
1,22,Less than 25,1,0,0,0,0,F,Leaving the Scene of Accident,1,Caucasian-Male
0,58,Greater than 45,1,0,0,0,2,M,DUI Property Damage/Injury,1,Caucasian-Female
1,42,25 - 45,0,0,0,0,1,F,arrest case no charge,1,Other-Male
1,29,25 - 45,1,0,0,0,0,M,Battery,0,Caucasian-Male
1,22,Less than 25,0,0,0,0,3,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,37,25 - 45,1,0,0,0,0,F,Crimin Mischief Damage $1000+,1,Caucasian-Male
1,27,25 - 45,1,0,0,0,3,M,Fleeing or Eluding a LEO,1,Caucasian-Male
1,26,25 - 45,0,0,0,0,3,F,Burglary Unoccupied Dwelling,1,African-American-Male
1,33,25 - 45,1,0,0,0,0,F,Aggravated Battery / Pregnant,1,Caucasian-Male
1,29,25 - 45,0,0,0,0,2,F,arrest case no charge,1,African-American-Male
1,36,25 - 45,1,0,0,0,2,M,Battery,1,Caucasian-Male
0,24,Less than 25,1,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,Caucasian-Female
1,34,25 - 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Caucasian-Male
1,25,25 - 45,0,0,0,0,2,F,arrest case no charge,0,Hispanic-Male
1,24,Less than 25,0,0,0,0,1,M,Battery,0,African-American-Male
1,61,Greater than 45,1,0,0,0,4,F,arrest case no charge,1,Caucasian-Male
0,50,Greater than 45,0,0,0,0,3,F,Aggravated Assault W/Dead Weap,1,African-American-Female
1,30,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,38,25 - 45,0,0,0,0,5,F,Possession of Cannabis,1,African-American-Male
1,24,Less than 25,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,20,Less than 25,0,0,0,1,0,F,Possession of Cocaine,0,Other-Male
1,27,25 - 45,0,0,0,0,13,M,Possess Cannabis/20 Grams Or Less,0,African-American-Male
1,28,25 - 45,1,0,0,0,1,F,Agg Battery Grt/Bod/Harm,0,Caucasian-Male
1,26,25 - 45,0,1,1,0,10,F,Aggravated Battery,0,African-American-Male
1,28,25 - 45,0,0,0,0,5,F,Possession Of Alprazolam,1,African-American-Male
1,63,Greater than 45,1,0,0,0,2,F,Felony DUI (level 3),1,Caucasian-Male
1,42,25 - 45,0,0,0,0,0,F,Aggravated Assault w/Firearm,1,African-American-Male
1,23,Less than 25,0,1,2,2,6,F,Driving While License Revoked,1,African-American-Male
1,54,Greater than 45,0,0,0,0,2,M,Battery,1,African-American-Male
1,35,25 - 45,0,0,0,0,1,M,Battery,1,African-American-Male
1,20,Less than 25,0,0,0,0,1,F,Fraudulent Use of Credit Card,0,African-American-Male
1,51,Greater than 45,1,0,0,0,0,F,Felony Battery (Dom Strang),1,Caucasian-Male
1,24,Less than 25,0,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",1,Hispanic-Male
1,37,25 - 45,1,0,0,0,3,F,Possession of Cocaine,1,Caucasian-Male
1,47,Greater than 45,1,0,0,0,3,F,Drivg While Lic Suspd/Revk/Can,1,Caucasian-Male
1,56,Greater than 45,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Caucasian-Male
1,35,25 - 45,0,0,0,0,0,F,Burglary Structure Unoccup,1,Asian-Male
1,58,Greater than 45,0,0,0,0,1,F,Possession Burglary Tools,1,Hispanic-Male
1,29,25 - 45,0,0,0,0,2,M,Driving Under The Influence,1,Hispanic-Male
0,24,Less than 25,1,0,0,1,6,F,Poss Contr Subst W/o Prescript,0,Caucasian-Female
1,21,Less than 25,1,0,0,4,2,M,Assault,0,Caucasian-Male
1,26,25 - 45,0,0,0,0,1,F,Cash Item w/Intent to Defraud,1,African-American-Male
0,30,25 - 45,1,0,0,0,0,M,Driving Under The Influence,1,Caucasian-Female
1,29,25 - 45,1,0,0,0,0,M,Battery,0,Caucasian-Male
1,54,Greater than 45,0,0,0,0,0,M,Battery,1,African-American-Male
1,29,25 - 45,0,0,0,0,4,F,False Ownership Info/Pawn Item,0,African-American-Male
0,59,Greater than 45,1,0,0,0,0,M,DUI Property Damage/Injury,1,Caucasian-Female
1,38,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,1,African-American-Male
1,52,Greater than 45,0,0,0,0,20,F,False Bomb Report,1,Hispanic-Male
1,27,25 - 45,1,0,0,0,2,F,Possession of Cocaine,1,Caucasian-Male
1,51,Greater than 45,1,0,0,0,1,M,DUI Property Damage/Injury,1,Caucasian-Male
1,35,25 - 45,1,0,0,0,1,F,arrest case no charge,1,Caucasian-Male
1,52,Greater than 45,1,0,0,0,4,M,Battery,1,Caucasian-Male
1,48,Greater than 45,0,0,0,0,12,F,Aggravated Assault w/Firearm,1,Other-Male
0,26,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
0,48,Greater than 45,1,0,0,0,0,M,Leave Accd/Attend Veh/Less $50,1,Caucasian-Female
1,30,25 - 45,0,0,0,0,7,M,Battery,1,Hispanic-Male
1,28,25 - 45,0,0,0,0,2,M,Battery,1,Other-Male
1,33,25 - 45,0,0,0,0,2,M,Battery,1,African-American-Male
0,34,25 - 45,0,0,0,0,6,F,Burglary Conveyance Unoccup,1,African-American-Female
1,25,25 - 45,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Other-Male
1,24,Less than 25,1,0,0,0,0,F,Possession of Cocaine,1,Caucasian-Male
1,52,Greater than 45,0,0,0,0,4,M,Fail Register Vehicle,1,African-American-Male
1,24,Less than 25,1,0,0,0,0,F,Agg Battery Grt/Bod/Harm,1,Caucasian-Male
1,23,Less than 25,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,27,25 - 45,1,0,1,3,6,F,Felony Battery (Dom Strang),1,Caucasian-Male
1,31,25 - 45,0,0,0,0,0,F,Trespassing/Construction Site,1,African-American-Male
1,32,25 - 45,1,0,0,0,1,F,arrest case no charge,0,Caucasian-Male
1,37,25 - 45,0,0,0,0,1,F,Crim Use of Personal ID Info,1,Other-Male
1,25,25 - 45,1,0,0,0,0,F,Possession of Cannabis,1,Caucasian-Male
1,32,25 - 45,0,1,1,0,20,F,arrest case no charge,1,Hispanic-Male
1,35,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American-Male
1,24,Less than 25,1,0,0,1,9,M,Viol Injunct Domestic Violence,0,Caucasian-Male
1,47,Greater than 45,1,0,0,0,1,M,Battery,1,Caucasian-Male
1,44,25 - 45,0,0,0,0,1,M,Reckless Driving,1,African-American-Male
1,23,Less than 25,1,0,0,0,2,F,Possession of Cannabis,1,Caucasian-Male
1,42,25 - 45,0,0,0,0,8,F,arrest case no charge,1,African-American-Male
1,58,Greater than 45,0,0,0,0,6,F,Felony Petit Theft,1,African-American-Male
1,26,25 - 45,0,0,0,1,3,F,Grand Theft (Motor Vehicle),1,African-American-Male
0,48,Greater than 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Other-Female
1,21,Less than 25,0,0,2,0,3,F,arrest case no charge,0,African-American-Male
1,63,Greater than 45,1,0,0,0,1,M,DUI Property Damage/Injury,1,Caucasian-Male
1,22,Less than 25,0,0,1,0,3,F,arrest case no charge,0,African-American-Male
1,50,Greater than 45,0,0,0,0,3,M,Battery,1,African-American-Male
1,38,25 - 45,0,0,0,0,0,F,Burglary Dwelling Assault/Batt,1,African-American-Male
1,41,25 - 45,1,0,0,0,1,F,Sexual Battery / Vict 12 Yrs +,1,Caucasian-Male
1,28,25 - 45,0,8,0,1,16,F,Aggravated Battery / Pregnant,0,African-American-Male
0,30,25 - 45,0,0,0,0,0,M,Battery,1,African-American-Female
1,23,Less than 25,0,0,0,0,1,F,Agg Fleeing and Eluding,1,African-American-Male
1,40,25 - 45,1,0,0,0,5,F,Neglect Child / No Bodily Harm,1,Caucasian-Male
1,24,Less than 25,0,0,0,0,8,F,Possession of Cannabis,1,Hispanic-Male
1,44,25 - 45,1,0,0,0,11,M,Battery,1,Caucasian-Male
0,35,25 - 45,0,0,0,0,6,F,arrest case no charge,0,African-American-Female
1,42,25 - 45,1,0,0,0,0,M,Battery,1,Caucasian-Male
1,38,25 - 45,0,0,0,0,15,F,Drivg While Lic Suspd/Revk/Can,1,African-American-Male
1,26,25 - 45,0,0,0,0,4,F,Possession of Cannabis,1,Hispanic-Male
0,25,25 - 45,0,0,0,0,0,M,Resist/Obstruct W/O Violence,1,African-American-Female
